Date,District,Rent (₹),Utilities (₹),Groceries (₹),Transport (₹),Fuel Price (₹/liter),Healthcare (₹),Education (₹),Internet (₹),Total Monthly Expense (₹)
2024-06-01,Ahmedabad,11335.69,2611.67,5844.54,1844.48,97.21,814.51,2755.64,527.57,25734.09
2024-07-01,Ahmedabad,11237.55,2589.06,5793.94,1828.51,97.11,807.46,2731.79,523.0,25511.31
2024-08-01,Ahmedabad,11224.63,2586.08,5787.28,1826.41,97.2,806.53,2728.64,522.4,25481.97
2024-09-01,Ahmedabad,11328.33,2609.97,5840.75,1843.28,97.21,813.98,2753.85,527.23,25717.4
2024-10-01,Ahmedabad,11414.58,2629.84,5885.21,1857.31,97.34,820.18,2774.82,531.24,25913.19
2024-11-01,Ahmedabad,11294.46,2602.17,5823.28,1837.77,96.96,811.55,2745.62,525.65,25640.51
2024-12-01,Ahmedabad,11268.09,2596.09,5809.69,1833.48,97.0,809.65,2739.21,524.42,25580.64
2025-01-01,Ahmedabad,11159.6,2571.1,5753.75,1815.83,97.51,801.86,2712.84,519.37,25334.35
2020-01-01,Amreli,10734.66,4978.47,5768.24,1175.12,89.11,675.37,4676.41,623.19,28631.45
2020-02-01,Amreli,10763.19,4991.7,5783.57,1178.25,88.82,677.16,4688.84,624.84,28707.54
2020-03-01,Amreli,10783.31,5001.03,5794.38,1180.45,89.0,678.43,4697.6,626.01,28761.21
2020-04-01,Amreli,10765.92,4992.96,5785.03,1178.54,89.23,677.34,4690.02,625.0,28714.83
2020-05-01,Amreli,10662.83,4945.15,5729.64,1167.26,89.17,670.85,4645.12,619.02,28439.87
2020-06-01,Amreli,10735.84,4979.02,5768.87,1175.25,89.05,675.44,4676.92,623.26,28634.61
2020-07-01,Amreli,10713.35,4968.58,5756.78,1172.79,89.02,674.03,4667.12,621.95,28574.6
2020-08-01,Amreli,10761.86,4991.08,5782.85,1178.1,89.19,677.08,4688.26,624.77,28704.0
2020-09-01,Amreli,10720.02,4971.68,5760.37,1173.52,88.64,674.45,4670.03,622.34,28592.41
2020-10-01,Amreli,10744.84,4983.19,5773.71,1176.24,89.23,676.01,4680.84,623.78,28658.6
2020-11-01,Amreli,10841.43,5027.98,5825.61,1186.81,89.33,682.09,4722.92,629.38,28916.23
2020-12-01,Amreli,10616.82,4923.81,5704.91,1162.22,89.06,667.96,4625.07,616.35,28317.13
2021-01-01,Amreli,10815.28,5015.85,5811.55,1183.95,89.2,680.44,4711.53,627.87,28846.46
2021-02-01,Amreli,10735.97,4979.07,5768.94,1175.27,89.28,675.45,4676.98,623.26,28634.95
2021-03-01,Amreli,10685.11,4955.48,5741.61,1169.7,89.17,672.25,4654.82,620.31,28499.28
2021-04-01,Amreli,10705.0,4964.71,5752.3,1171.88,89.03,673.5,4663.48,621.46,28552.33
2021-05-01,Amreli,10762.7,4991.47,5783.31,1178.19,88.79,677.13,4688.62,624.81,28706.25
2021-06-01,Amreli,10787.28,5002.87,5796.51,1180.88,88.93,678.68,4699.33,626.24,28771.8
2021-07-01,Amreli,10732.34,4977.39,5766.99,1174.87,88.66,675.22,4675.39,623.05,28625.25
2021-08-01,Amreli,10756.89,4988.78,5780.18,1177.56,89.42,676.77,4686.09,624.48,28690.75
2021-09-01,Amreli,10690.87,4958.16,5744.71,1170.33,88.74,672.61,4657.33,620.64,28514.65
2021-10-01,Amreli,10733.26,4977.82,5767.49,1174.97,89.43,675.28,4675.8,623.11,28627.72
2021-11-01,Amreli,10640.85,4934.96,5717.83,1164.85,88.74,669.47,4635.54,617.74,28381.23
2021-12-01,Amreli,10694.1,4959.66,5746.44,1170.68,88.82,672.82,4658.74,620.83,28523.27
2022-01-01,Amreli,10674.69,4950.65,5736.01,1168.56,88.48,671.6,4650.28,619.7,28471.49
2022-02-01,Amreli,10749.9,4985.53,5776.43,1176.79,89.13,676.33,4683.05,624.07,28672.09
2022-03-01,Amreli,10627.53,4928.78,5710.67,1163.4,89.43,668.63,4629.74,616.97,28345.71
2022-04-01,Amreli,10808.31,5012.62,5807.81,1183.18,88.84,680.0,4708.49,627.46,28827.88
2022-05-01,Amreli,10780.79,4999.86,5793.02,1180.17,88.89,678.27,4696.5,625.86,28754.48
2022-06-01,Amreli,10728.08,4975.41,5764.7,1174.4,88.82,674.96,4673.54,622.8,28613.9
2022-07-01,Amreli,10836.82,5025.85,5823.13,1186.31,88.96,681.8,4720.91,629.12,28903.94
2022-08-01,Amreli,10725.16,4974.06,5763.13,1174.08,88.85,674.77,4672.27,622.63,28606.1
2022-09-01,Amreli,10817.95,5017.09,5812.99,1184.24,89.54,680.61,4712.69,628.02,28853.59
2022-10-01,Amreli,10805.62,5011.38,5806.37,1182.89,89.29,679.83,4707.32,627.31,28820.72
2022-11-01,Amreli,10684.98,4955.42,5741.54,1169.68,89.26,672.24,4654.76,620.3,28498.93
2022-12-01,Amreli,10718.02,4970.75,5759.29,1173.3,89.39,674.32,4669.16,622.22,28587.06
2023-01-01,Amreli,10778.08,4998.6,5791.57,1179.88,88.87,678.1,4695.32,625.71,28747.25
2023-02-01,Amreli,10769.09,4994.43,5786.74,1178.89,89.22,677.54,4691.4,625.18,28723.27
2023-03-01,Amreli,10570.05,4902.12,5679.78,1157.1,89.25,665.01,4604.7,613.63,28192.4
2023-04-01,Amreli,10695.3,4960.21,5747.09,1170.81,88.8,672.89,4659.26,620.9,28526.46
2023-05-01,Amreli,10673.29,4950.0,5735.26,1168.4,89.0,671.51,4649.67,619.62,28467.77
2023-06-01,Amreli,10744.07,4982.83,5773.29,1176.15,88.67,675.96,4680.51,623.73,28656.54
2023-07-01,Amreli,10728.55,4975.63,5764.95,1174.45,89.19,674.98,4673.74,622.83,28615.14
2023-08-01,Amreli,10817.97,5017.1,5813.0,1184.24,88.75,680.61,4712.7,628.02,28853.66
2023-09-01,Amreli,10699.69,4962.25,5749.45,1171.3,89.11,673.17,4661.17,621.16,28538.19
2023-10-01,Amreli,10779.76,4999.38,5792.47,1180.06,88.96,678.21,4696.05,625.8,28751.75
2023-11-01,Amreli,10782.5,5000.65,5793.94,1180.36,88.52,678.38,4697.25,625.96,28759.05
2023-12-01,Amreli,10651.36,4939.83,5723.47,1166.0,89.13,670.13,4640.12,618.35,28409.27
2024-01-01,Amreli,10642.94,4935.93,5718.95,1165.08,88.72,669.6,4636.45,617.86,28386.8
2024-02-01,Amreli,10690.17,4957.83,5744.33,1170.25,89.24,672.57,4657.02,620.6,28512.77
2024-03-01,Amreli,10616.99,4923.89,5705.01,1162.24,89.08,667.97,4625.14,616.36,28317.59
2024-04-01,Amreli,10773.64,4996.54,5789.18,1179.39,88.99,677.82,4693.39,625.45,28735.42
2024-05-01,Amreli,10698.67,4961.77,5748.9,1171.18,89.15,673.1,4660.73,621.1,28535.45
2024-06-01,Amreli,10708.12,4966.16,5753.97,1172.22,89.41,673.7,4664.84,621.65,28560.66
2024-07-01,Amreli,10658.95,4943.35,5727.55,1166.83,89.02,670.61,4643.42,618.79,28429.51
2024-08-01,Amreli,10729.4,4976.02,5765.41,1174.55,88.94,675.04,4674.11,622.88,28617.4
2024-09-01,Amreli,10564.82,4899.7,5676.98,1156.53,89.0,664.68,4602.42,613.33,28178.46
2024-10-01,Amreli,10766.54,4993.25,5785.37,1178.61,89.25,677.38,4690.29,625.04,28716.48
2024-11-01,Amreli,10737.37,4979.72,5769.69,1175.42,88.75,675.54,4677.59,623.34,28638.67
2024-12-01,Amreli,10739.54,4980.73,5770.86,1175.66,88.89,675.68,4678.53,623.47,28644.45
2025-01-01,Amreli,10737.3,4979.69,5769.66,1175.41,89.07,675.54,4677.56,623.34,28638.49
2020-01-01,Anand,8402.79,3363.71,4601.55,1408.27,85.31,887.02,2653.09,716.59,22033.02
2020-02-01,Anand,8427.62,3373.65,4615.15,1412.43,86.0,889.64,2660.93,718.71,22098.13
2020-03-01,Anand,8455.19,3384.68,4630.25,1417.05,85.77,892.55,2669.64,721.06,22170.44
2020-04-01,Anand,8453.3,3383.93,4629.21,1416.74,85.69,892.35,2669.04,720.9,22165.48
2020-05-01,Anand,8365.75,3348.88,4581.27,1402.06,86.01,883.11,2641.4,713.44,21935.9
2020-06-01,Anand,8493.02,3399.83,4650.96,1423.39,85.62,896.55,2681.58,724.29,22269.61
2020-07-01,Anand,8441.5,3379.2,4622.75,1414.76,85.75,891.11,2665.32,719.9,22134.54
2020-08-01,Anand,8462.67,3387.68,4634.34,1418.31,86.25,893.34,2672.0,721.7,22190.04
2020-09-01,Anand,8496.75,3401.32,4653.01,1424.02,85.71,896.94,2682.76,724.61,22279.41
2020-10-01,Anand,8470.73,3390.9,4638.76,1419.66,86.13,894.19,2674.54,722.39,22211.18
2020-11-01,Anand,8465.08,3388.64,4635.66,1418.71,85.81,893.6,2672.76,721.91,22196.35
2020-12-01,Anand,8466.66,3389.28,4636.53,1418.98,85.63,893.76,2673.26,722.04,22200.51
2021-01-01,Anand,8424.37,3372.35,4613.37,1411.89,85.54,889.3,2659.91,718.43,22089.61
2021-02-01,Anand,8460.81,3386.93,4633.32,1418.0,85.78,893.15,2671.41,721.54,22185.16
2021-03-01,Anand,8413.16,3367.86,4607.23,1410.01,85.77,888.12,2656.37,717.48,22060.23
2021-04-01,Anand,8467.67,3389.68,4637.08,1419.15,86.3,893.87,2673.58,722.13,22203.17
2021-05-01,Anand,8490.53,3398.83,4649.6,1422.98,85.22,896.28,2680.79,724.08,22263.08
2021-06-01,Anand,8457.95,3385.79,4631.76,1417.52,86.18,892.84,2670.51,721.3,22177.67
2021-07-01,Anand,8391.46,3359.17,4595.35,1406.37,85.95,885.83,2649.52,715.63,22003.33
2021-08-01,Anand,8437.89,3377.76,4620.77,1414.15,86.11,890.73,2664.17,719.59,22125.06
2021-09-01,Anand,8464.9,3388.57,4635.57,1418.68,85.58,893.58,2672.7,721.89,22195.9
2021-10-01,Anand,8439.4,3378.36,4621.6,1414.41,85.78,890.89,2664.65,719.72,22129.01
2021-11-01,Anand,8442.67,3379.67,4623.39,1414.96,86.1,891.23,2665.68,720.0,22137.6
2021-12-01,Anand,8412.34,3367.53,4606.78,1409.87,86.07,888.03,2656.11,717.41,22058.08
2022-01-01,Anand,8435.12,3376.65,4619.26,1413.69,85.87,890.43,2663.3,719.35,22117.8
2022-02-01,Anand,8450.91,3382.97,4627.9,1416.34,85.81,892.1,2668.29,720.7,22159.21
2022-03-01,Anand,8447.29,3381.52,4625.92,1415.73,86.19,891.72,2667.14,720.39,22149.71
2022-04-01,Anand,8483.38,3395.97,4645.68,1421.78,85.72,895.53,2678.54,723.47,22244.33
2022-05-01,Anand,8514.58,3408.46,4662.77,1427.01,85.88,898.82,2688.39,726.13,22326.17
2022-06-01,Anand,8462.94,3387.78,4634.49,1418.35,85.6,893.37,2672.08,721.72,22190.74
2022-07-01,Anand,8426.89,3373.35,4614.75,1412.31,85.63,889.57,2660.7,718.65,22096.22
2022-08-01,Anand,8451.49,3383.2,4628.22,1416.43,85.98,892.16,2668.47,720.75,22160.73
2022-09-01,Anand,8463.34,3387.95,4634.71,1418.42,86.22,893.41,2672.21,721.76,22191.81
2022-10-01,Anand,8410.44,3366.77,4605.74,1409.55,85.84,887.83,2655.51,717.25,22053.09
2022-11-01,Anand,8393.78,3360.1,4596.62,1406.76,85.57,886.07,2650.25,715.83,22009.4
2022-12-01,Anand,8501.17,3403.09,4655.43,1424.76,85.69,897.41,2684.16,724.98,22290.99
2023-01-01,Anand,8414.0,3368.19,4607.69,1410.15,85.26,888.21,2656.63,717.55,22062.41
2023-02-01,Anand,8413.58,3368.02,4607.46,1410.08,85.76,888.16,2656.5,717.51,22061.31
2023-03-01,Anand,8390.64,3358.84,4594.9,1406.24,85.74,885.74,2649.26,715.56,22001.17
2023-04-01,Anand,8501.43,3403.19,4655.57,1424.8,85.63,897.43,2684.24,725.01,22291.66
2023-05-01,Anand,8408.09,3365.83,4604.46,1409.16,85.52,887.58,2654.77,717.05,22046.94
2023-06-01,Anand,8399.73,3362.48,4599.88,1407.76,85.95,886.7,2652.13,716.33,22025.01
2023-07-01,Anand,8449.91,3382.57,4627.36,1416.17,86.06,892.0,2667.97,720.61,22156.59
2023-08-01,Anand,8533.01,3415.83,4672.86,1430.1,85.34,900.77,2694.21,727.7,22374.48
2023-09-01,Anand,8463.88,3388.16,4635.01,1418.51,85.52,893.47,2672.38,721.8,22193.23
2023-10-01,Anand,8481.12,3395.06,4644.45,1421.4,85.74,895.29,2677.82,723.27,22238.41
2023-11-01,Anand,8449.01,3382.21,4626.86,1416.02,85.48,891.9,2667.69,720.54,22154.23
2023-12-01,Anand,8429.89,3374.55,4616.39,1412.81,85.83,889.88,2661.65,718.9,22104.08
2024-01-01,Anand,8505.03,3404.63,4657.54,1425.41,85.61,897.81,2685.37,725.31,22301.11
2024-02-01,Anand,8424.65,3372.46,4613.52,1411.94,86.05,889.33,2659.99,718.46,22090.34
2024-03-01,Anand,8411.64,3367.25,4606.4,1409.75,86.11,887.96,2655.89,717.35,22056.23
2024-04-01,Anand,8447.48,3381.6,4626.02,1415.76,85.89,891.74,2667.2,720.41,22150.21
2024-05-01,Anand,8463.35,3387.95,4634.72,1418.42,85.65,893.42,2672.22,721.76,22191.84
2024-06-01,Anand,8464.3,3388.33,4635.23,1418.58,85.61,893.51,2672.51,721.84,22194.31
2024-07-01,Anand,8426.7,3373.28,4614.64,1412.28,85.96,889.55,2660.64,718.63,22095.71
2024-08-01,Anand,8460.23,3386.7,4633.01,1417.9,85.79,893.09,2671.23,721.49,22183.64
2024-09-01,Anand,8394.8,3360.51,4597.18,1406.93,85.55,886.18,2650.57,715.91,22012.08
2024-10-01,Anand,8459.53,3386.42,4632.62,1417.78,86.0,893.01,2671.01,721.43,22181.8
2024-11-01,Anand,8401.08,3363.02,4600.62,1407.99,85.6,886.84,2652.55,716.45,22028.56
2024-12-01,Anand,8453.52,3384.01,4629.33,1416.77,85.84,892.38,2669.11,720.92,22166.05
2025-01-01,Anand,8379.4,3354.35,4588.74,1404.35,85.85,884.55,2645.71,714.6,21971.71
2020-01-01,Aravalli,10918.58,3771.25,4222.87,1427.45,90.3,684.49,2560.54,578.64,24163.82
2020-02-01,Aravalli,10906.73,3767.16,4218.29,1425.9,89.77,683.75,2557.76,578.01,24137.59
2020-03-01,Aravalli,10874.53,3756.03,4205.83,1421.69,89.88,681.73,2550.21,576.31,24066.33
2020-04-01,Aravalli,10803.72,3731.58,4178.45,1412.43,89.97,677.29,2533.6,572.55,23909.63
2020-05-01,Aravalli,10788.81,3726.43,4172.68,1410.48,90.21,676.36,2530.11,571.76,23876.63
2020-06-01,Aravalli,10827.5,3739.79,4187.65,1415.54,89.94,678.78,2539.18,573.81,23962.26
2020-07-01,Aravalli,10868.0,3753.78,4203.31,1420.84,89.82,681.32,2548.68,575.96,24051.89
2020-08-01,Aravalli,10884.43,3759.46,4209.67,1422.99,89.76,682.35,2552.53,576.83,24088.26
2020-09-01,Aravalli,10899.85,3764.78,4215.63,1425.0,89.52,683.32,2556.15,577.65,24122.36
2020-10-01,Aravalli,10859.51,3750.85,4200.03,1419.73,90.41,680.79,2546.69,575.51,24033.09
2020-11-01,Aravalli,10798.49,3729.77,4176.43,1411.75,89.7,676.96,2532.38,572.28,23898.05
2020-12-01,Aravalli,10880.49,3758.09,4208.14,1422.47,89.94,682.1,2551.61,576.62,24079.53
2021-01-01,Aravalli,10871.65,3755.04,4204.72,1421.31,90.02,681.55,2549.53,576.15,24059.96
2021-02-01,Aravalli,10887.04,3760.35,4210.67,1423.33,90.19,682.51,2553.14,576.97,24094.01
2021-03-01,Aravalli,10874.86,3756.15,4205.96,1421.73,89.82,681.75,2550.28,576.32,24067.06
2021-04-01,Aravalli,10889.09,3761.06,4211.47,1423.59,90.4,682.64,2553.62,577.08,24098.55
2021-05-01,Aravalli,10845.48,3746.0,4194.6,1417.89,89.62,679.91,2543.4,574.77,24002.04
2021-06-01,Aravalli,10912.62,3769.19,4220.57,1426.67,89.85,684.12,2559.14,578.33,24150.62
2021-07-01,Aravalli,10735.0,3707.84,4151.87,1403.45,90.12,672.98,2517.49,568.91,23757.55
2021-08-01,Aravalli,10823.67,3738.47,4186.17,1415.04,89.86,678.54,2538.28,573.61,23953.78
2021-09-01,Aravalli,10870.64,3754.69,4204.33,1421.18,89.94,681.49,2549.3,576.1,24057.73
2021-10-01,Aravalli,10891.08,3761.75,4212.24,1423.85,89.77,682.77,2554.09,577.18,24102.97
2021-11-01,Aravalli,10880.45,3758.08,4208.13,1422.46,89.82,682.1,2551.6,576.62,24079.44
2021-12-01,Aravalli,10892.67,3762.3,4212.85,1424.06,90.05,682.87,2554.46,577.27,24106.49
2022-01-01,Aravalli,10802.0,3730.98,4177.79,1412.21,90.18,677.18,2533.2,572.46,23905.83
2022-02-01,Aravalli,10823.64,3738.46,4186.15,1415.04,90.1,678.54,2538.27,573.61,23953.7
2022-03-01,Aravalli,10872.55,3755.35,4205.07,1421.43,90.38,681.6,2549.74,576.2,24061.96
2022-04-01,Aravalli,10840.56,3744.3,4192.7,1417.25,89.79,679.6,2542.24,574.51,23991.16
2022-05-01,Aravalli,10851.61,3748.12,4196.97,1418.69,89.81,680.29,2544.83,575.09,24015.61
2022-06-01,Aravalli,10895.98,3763.44,4214.13,1424.5,89.45,683.07,2555.24,577.44,24113.81
2022-07-01,Aravalli,10795.6,3728.77,4175.31,1411.37,89.6,676.78,2531.7,572.12,23891.66
2022-08-01,Aravalli,10904.13,3766.26,4217.28,1425.56,90.35,683.58,2557.15,577.88,24131.83
2022-09-01,Aravalli,10847.01,3746.53,4195.19,1418.09,89.84,680.0,2543.75,574.85,24005.42
2022-10-01,Aravalli,10856.46,3749.79,4198.85,1419.33,90.2,680.6,2545.97,575.35,24026.34
2022-11-01,Aravalli,10802.44,3731.14,4177.95,1412.27,89.95,677.21,2533.3,572.49,23906.8
2022-12-01,Aravalli,10905.47,3766.72,4217.8,1425.74,90.02,683.67,2557.47,577.95,24134.82
2023-01-01,Aravalli,10862.93,3752.03,4201.35,1420.17,90.16,681.0,2547.49,575.69,24040.66
2023-02-01,Aravalli,10706.27,3697.92,4140.76,1399.69,90.07,671.18,2510.75,567.39,23693.96
2023-03-01,Aravalli,10817.24,3736.25,4183.68,1414.2,89.39,678.14,2536.77,573.27,23939.55
2023-04-01,Aravalli,10880.35,3758.04,4208.09,1422.45,90.26,682.09,2551.57,576.62,24079.21
2023-05-01,Aravalli,10845.22,3745.91,4194.5,1417.86,90.14,679.89,2543.33,574.75,24001.47
2023-06-01,Aravalli,10939.97,3778.64,4231.15,1430.25,90.24,685.83,2565.56,579.78,24211.17
2023-07-01,Aravalli,10941.47,3779.16,4231.73,1430.44,90.09,685.93,2565.91,579.85,24214.49
2023-08-01,Aravalli,10856.75,3749.89,4198.96,1419.37,89.46,680.61,2546.04,575.36,24026.98
2023-09-01,Aravalli,10839.34,3743.88,4192.22,1417.09,89.66,679.52,2541.96,574.44,23988.45
2023-10-01,Aravalli,10970.23,3789.09,4242.85,1434.2,89.84,687.73,2572.65,581.38,24278.13
2023-11-01,Aravalli,10859.33,3750.79,4199.96,1419.7,90.04,680.78,2546.64,575.5,24032.71
2023-12-01,Aravalli,10855.02,3749.3,4198.29,1419.14,90.34,680.51,2545.63,575.27,24023.17
2024-01-01,Aravalli,10818.94,3736.84,4184.34,1414.42,89.94,678.24,2537.17,573.36,23943.32
2024-02-01,Aravalli,10812.45,3734.59,4181.83,1413.58,89.53,677.84,2535.65,573.02,23928.95
2024-03-01,Aravalli,10819.53,3737.04,4184.56,1414.5,89.88,678.28,2537.31,573.39,23944.62
2024-04-01,Aravalli,10829.41,3740.45,4188.39,1415.79,89.7,678.9,2539.63,573.92,23966.49
2024-05-01,Aravalli,10776.5,3722.18,4167.92,1408.88,89.86,675.58,2527.22,571.11,23849.39
2024-06-01,Aravalli,10771.17,3720.34,4165.86,1408.18,90.09,675.25,2525.97,570.83,23837.6
2024-07-01,Aravalli,10857.13,3750.02,4199.1,1419.42,89.49,680.64,2546.13,575.38,24027.82
2024-08-01,Aravalli,10835.92,3742.7,4190.9,1416.64,89.68,679.31,2541.15,574.26,23980.88
2024-09-01,Aravalli,10869.95,3754.45,4204.06,1421.09,90.25,681.44,2549.13,576.06,24056.19
2024-10-01,Aravalli,10751.11,3713.41,4158.1,1405.56,89.92,673.99,2521.27,569.77,23793.2
2024-11-01,Aravalli,10843.99,3745.49,4194.02,1417.7,90.07,679.81,2543.05,574.69,23998.75
2024-12-01,Aravalli,10864.21,3752.47,4201.84,1420.34,89.68,681.08,2547.79,575.76,24043.49
2025-01-01,Aravalli,10835.38,3742.51,4190.7,1416.57,89.67,679.27,2541.03,574.23,23979.7
2020-01-01,Banaskantha,7170.93,4067.72,4389.22,1700.37,98.69,645.0,3400.75,625.03,21999.02
2020-02-01,Banaskantha,7131.61,4045.42,4365.16,1691.05,98.67,641.47,3382.1,621.61,21878.42
2020-03-01,Banaskantha,7205.96,4087.59,4410.66,1708.68,99.3,648.15,3417.36,628.09,22106.49
2020-04-01,Banaskantha,7139.58,4049.94,4370.04,1692.94,99.41,642.18,3385.88,622.3,21902.87
2020-05-01,Banaskantha,7179.02,4072.31,4394.17,1702.29,99.19,645.73,3404.59,625.74,22023.85
2020-06-01,Banaskantha,7254.26,4114.99,4440.23,1720.13,99.41,652.5,3440.27,632.3,22254.68
2020-07-01,Banaskantha,7186.72,4076.68,4398.89,1704.12,98.88,646.42,3408.24,626.41,22047.48
2020-08-01,Banaskantha,7119.09,4038.32,4357.5,1688.08,98.93,640.34,3376.17,620.52,21840.01
